Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1880,,,,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,0.520723202,,,,,0.689618099,,,,
1921,,,,,,,,,,,,0.609942628,,,,,1.205084715,,,0.3937,
1922,,,,,,,,,,,,0.670267822,,,,,0.890436776,,,0.5562,
1923,,,,,,,,,,,,0.516268458,,,,,0.494711066,,,0.3414,
1924,,,,,,,,,,,,0.493644471,,,,,0.56763056,,,0.2928,
1925,,,,,,,,,,,,0.625144595,,,,,0.847858085,,,0.3349,
1926,,,,,,,,,,,,0.594332343,,,,,0.736093265,,,0.4064,
1927,,,,,,,,,,,,0.618129318,,,,,1.092684968,,,0.5382,
1928,,,,,,,,,,,,0.732727537,,,,,1.025780851,,,0.4512,
1929,,,,,,,,,,,,0.764739377,,,0.98088,,1.178652471,,,0.3148,
1930,,,,,,,,,,,,0.719204943,,,0.98888,,0.840566052,,,0.7382,
1931,,,,,,,,,,,,0.649980127,,,0.85084,,0.931987921,,,0.5327,
1932,,,,,,,,,,,,0.611599865,,,0.8191,,0.894684837,,,0.3309,
1933,,,,,,,,,,,,0.724875768,,,0.64432,,1.130796057,,,0.6094,
1934,,,,,,,,,,,,0.722180357,,,0.80914,,0.764759588,,,0.6186,
1935,,,,,,,,,,,,0.670951328,,,0.8058,,0.894026855,,,0.6535,
1936,,,,,,,,,,,,0.584340369,,,0.9484,,0.862599847,,,0.4973,
1937,,,,,,,,,,,,0.73472676,,,0.74862,,0.993885031,,,0.491,
1938,,,,,,,,,,,,0.699687901,,,,,0.577977698,,,0.4952,
1939,,,,,,,,,,,,0.30803043,,,,,,,,,
1940,,,,,,,,,,,,0,,,,,,,,,
1941,,,,,,,,,,,,0,,,,,,,,,
1942,,,,,,,,,,,,0,,,,,,,,,
1943,,,,,,,,,,,,0,,,,,,,,,
1944,,,,,,,,,,,,0,,,,,,,,,
1945,,,,,,,,,,,,0.24753338,,,,,,,,,
1946,,,,,,,,,,,,0.451000887,,,,,0.748520312,,,0.5829,
1947,,,,,,,0.127,,,,,0.511681557,,,0.41484,,0.684891598,,,0.4078,
1948,,,,,,,0.115,,,,,0.532859838,,,0.39996,,0.75024742,,,0.4877,
1949,,,,,,,0.14,,,,,0.716135104,,,0.36494,,0.639502102,,,0.3687,
1950,,,,,,,0.148,,,,,0.970802205,,,0.2962,,0.768491202,,,0.369,
1951,,,,,,,0.198,,,,,0.758450209,,,0.28004,,0.926013192,,,0.2798,
1952,,,,,,,0.22,,,,,0.561696233,,,0.29278,,1.002391129,,,0.3269,
1953,,,,,,,0.23,,,,,0.492493382,,,0.32056,,0.943196376,,,0.3876,
1954,,,,,,,0.28,,,,,0.473716111,,,0.25822,,0.609075934,,,0.3615,
1955,,,,,,,0.25,,,,,0.493848031,,,0.24616,,0.97557958,,,0.48,
1956,,,,,,,0.25,,,,,0.457717122,,,0.22164,,0.861672037,,,0.3814,
1957,,,,,,,0.27,,,0.21,,0.666044211,,,0.114,,0.586071633,,,0.4097,
1958,,,,,,,0.25,,,0.21,,0.62328693,,,0.132,,0.587237992,,,0.4907,
1959,,,,,,,0.3,,,0.22,,0.692893801,,,0.15,,0.60137687,,,0.7437,
1960,,,,,,,0.25,,,0.26,,0.792208118,,,0.154,,0.883680663,,,0.4593,
1961,,,,,,,0.27,,,0.31,,1.125302936,,,0.153,,0.847636321,,,0.4661,
1962,,,,,,,0.32,,,0.33,,0.965205879,,,0.166,,0.99546204,,,0.4727,
1963,,,,,,,0.188,,,0.31,,0.927941302,,,0.189,,0.753462569,,,0.47,
1964,,,,,,,0.29,,,0.29,,0.813659782,,,0.195,,0.916197922,,,0.52,
1965,,,,,,,0.53,,,0.29,,1.07545434,,,0.175,,0.803807864,,,0.57,
1966,,,,,,,0.49,,,0.33,,1.622281703,,,0.188,,0.878689652,,,0.58,
1967,,,,,,,0.69,,,0.41,,0.8319,,,0.19,,0.847692802,,,0.62,0.35
1968,,,,,,,1.08,,,0.5,,1.0082,,,0.171,,0.624477119,,,0.65,0.3
1969,,,,,,,0.88,,,0.55,,0.7615,,,0.183,,1.172343681,,,0.61,0.32
1970,,,,,,,0.96,,,0.52,,0.9417,,,0.233,,1.038521516,,,0.65,0.35
1971,,,,,,,1.42,,,0.49,,0.5672,,,0.212,,0.769787869,,,0.74,0.38
1972,,,,,,,0.62,,,0.52,,0.8053,,,0.228,,0.86,,,0.81,0.41
1973,,,,,,,0.95,,,0.56,,0.9914,,,0.257,,0.78,,,0.79,0.43
1974,1.14,,,,,,0.9,,,0.55,,1.0552,,,0.277,,0.74,,,0.75,0.5
1975,1.58,,,,,,1.19,,,0.51,,1.1457,,,0.315,,0.86,,,0.81,0.53
1976,1.65,,,,,,0.88,,,0.48,,1.0525,,,0.262,,0.79,,,0.87,0.6
1977,1.43,,,,,,0.33,,,0.48,,0.8684,,,0.297,,0.82,,,0.82,0.59
1978,0.52,,,,,,0.23,,,0.49,,0.65,,,0.286,,0.91,,,0.92,0.48
1979,0.61,,,,,,0.188,,,0.51,,0.64,,,0.392,,0.93,,,0.84,0.45
1980,2.2,,,,,,0.167,,,0.52,0.22,0.76,,,0.338,,0.9,,,0.92,0.48
1981,1.06,,,,,,0.25,,,0.55,0.22,0.77,,,0.339,,0.67,,,0.93,0.47
1982,0.95,,,,,,0.192,0.0176,,0.58,0.22,0.63,,,0.367,,0.54,,,1.05,0.54
1983,1.57,,0.634950632,,,,0.27,0.024,,0.61,0.22,0.69,,,0.356,,0.72,,,1.03,0.65
1984,0.92,1.12,0.665230272,,,,0.35,0.022,,0.63,0.22,0.8,,,0.368,,0.85,,,0.97,0.68
1985,1.27,1.07,0.693666728,,,,0.45,0.0183,,0.63,0.23,0.77,,,0.35,,0.8,,,0.92,0.7
1986,1.07,0.83,0.548204932,,,,0.42,0.023,,0.59,0.23,0.84,,,0.43,,0.91,,,1,0.73
1987,0.35,0.75,0.478983468,,,,0.4,0.029,,0.54,0.24,0.95,,,0.467,,0.91,,,0.97,0.71
1988,1.22,0.58,0.647263904,,,,0.39,0.032,,0.5,0.24,0.81,,,0.452,,0.96,,,1,0.71
1989,0.34,0.57,0.821494896,,,,0.38,0.033,,0.47,0.25,0.87,,,0.395,,0.91,,,1.02,0.69
1990,1.44,0.54,0.65707557,,,,0.29,0.046,,0.46,0.26,0.79,,,0.372,,0.91,,,0.95,0.66
1991,0.74,0.52,0.586250421,,,,0.32,0.051,,0.46,0.28,0.66,,,0.411,,0.89,,,0.94,0.63
1992,0.81,0.49,0.712620012,,,,0.38,0.078,,0.49,0.29,0.63,,,0.404,,0.87,,,0.91,0.61
1993,1.51,0.5,0.462551314,,,,0.44,0.103,,0.53,0.3,0.67,,,0.372,,0.94,,,0.97,0.64
1994,0.73,0.43,0.439419409,,,,0.44,0.107,,0.59,0.31,0.69,,,0.372,,0.91,,,0.94,0.57
1995,1.35,0.34,0.473262107,,,,0.41,0.158,,0.65,0.31,0.66,,,0.386,,0.81,,,0.88,0.58
1996,1.34,0.31,0.448939441,,,,0.2,0.137,,0.69,0.3,0.6,,,0.41,,0.79,,,0.9,0.51
1997,0.96,0.3,0.617873947,,,,0.189,0.194,,0.7,0.3,0.49,,,0.469,,0.61,,,0.93,0.45
1998,1.65,0.28,0.790276403,,,,0.23,0.132,,0.67,0.31,0.45,,,0.414,,0.71,,,1.12,0.45
1999,0.85,0.29,0.806276712,,,,0.21,0.134,,0.65,0.32,0.51,,,0.385,,0.8,,,1.14,0.47
2000,1.41,0.27,0.680252497,,,,0.22,0.1,,0.64,0.33,0.58,,,0.304,,0.87,,,1.16,0.41
2001,1.5,0.24,0.939862559,,,,0.183,0.124,,0.64,0.36,0.47,,,0.402,,0.58,,,0.88,0.39
2002,1.56,0.28,0.718858351,,,,0.171,0.113,,0.61,0.38,0.37,,,0.33,,0.35,,,1.05,0.43
2003,1.22,0.24,0.566807183,,,,0.198,0.111,,0.57,0.39,0.3,,,0.311,,0.21,,,0.76,0.45
2004,1.89,0.22,0.655781168,,,,0.25,0.088,,0.55,0.37,0.25,,,0.231,,0.22,,,0.8,0.39
2005,1.26,0.001,0.863252951,,,,0.29,0.097,,0.55,0.31,0.22,,,0.21,,0.3,,,0.82,0.39
2006,1.57,0.26,1.113322458,,,,0.25,0.083,,0.53,0.29,0.24,,,0.181,,0.5,,,0.73,0.4
2007,1.6,0.04,0.379117732,,,,0.23,0.067,,0.48,0.32,0.23,,,0.144,,0.41,,,0.66,0.39
2008,1.42,0.057,0.655699743,,,,0.139,0.082,,0.44,0.31,0.22,,,0.114,,0.24,,,0.64,0.44
2009,0.83,0.077,0.934116296,,,,0.073,0.115,,0.45,0.28,0.25,,,0.103,,0.19,,,0.61,0.46
2010,1.02,0.088,0.469450219,,,,0.079,0.14,,0.5,0.28,0.28,,,0.102,,0.21,,,0.52,0.44
2011,0.9,0.081,0.47553521,,,,0.102,0.146,,0.52,0.27,0.25,,,0.105,,0.31,,,0.4,0.44
2012,1.34,0.136,0.111196278,,,,0.186,0.141,,0.47,0.25,0.25,,,0.111,,0.187,,,0.37,0.42
2013,1.29,0.21,0.642558842,,,,0.22,0.155,,0.42,0.25,0.25,,,0.104,,0.2,,,0.37,0.38
2014,0.59,0.22,0.328523641,,,,0.21,0.145,,0.4,0.26,0.28,,,0.111,,0.34,,,0.38,0.37
2015,1.27,0.24,0.340254091,,,,0.22,0.114,,0.41,0.24,0.32,,,0.118,,0.45,,,0.38,0.37
2016,2.2,0.25,0.088510704,,,,0.24,0.117,,0.44,0.22,0.32,,,0.134,,0.33,,,0.38,0.37
2017,1.38,0.25,0.533726718,,,,0.198,0.095,,0.48,0.22,0.28,,,0.125,,0.24,,,0.43,0.41
2018,1.39,0.26,0.387339077,,,,0.23,0.109,,0.44,0.22,0.23,,,0.133,,0.21,,,0.56,0.45
2019,1.1,0.26,0.368377057,,,,0.193,0.126,,0.34,0.22,0.23,,,0.111,,0.175,,,0.54,0.49
2020,1.67,0.25,0.596253576,,,,0.197,0.071,,0.23,,0.185,,,0.099,,0.19,,,0.45,0.45
